School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
3287,Avonhead School,03 348 7361,03 348 2219,principal@avonhead.school.nz,Micah Hocquard,http://www.avonhead.school.nz,55 Avonhead Road,Avonhead,Christchurch,55 Avonhead Road,Avonhead,Christchurch,8042,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Avonhead,Waimairi Ward,,,-43.524102,172.559497,0.16,7,636,255,58,39,238,40,6,0
3288,Ngutuawa School,03 982 0206,03 982 0208,office@ngutuawa.school.nz,Shona Hewlett,http://bamford.school.nz,10 Gould Crescent,Woolston,Christchurch,10 Gould Crescent,Woolston,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Woolston South,Linwood Ward,99063,Tamai Community of Learning,-43.554159,172.687455,0.12,3,136,77,30,10,8,10,1,0
3289,Banks Avenue School,03 385 4163,03 385 6581,office@banksave.school.nz,Toni Burnside,http://www.banksave.school.nz,91 Banks Avenue,Shirley,Christchurch,91 Banks Avenue,Dallington,Christchurch,8061,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Dallington,Burwood Ward,99175,Ōtākaro Community of Learning,-43.513251,172.668112,0.09,4,377,245,72,25,27,7,1,0
3291,Beckenham Te Kura o Pūroto,03 337 1404,03 332 6754,office@beckenham.school.nz,Sandy Hastings,http://www.beckenham.school.nz,71 Sandwich Road,Beckenham,Christchurch,71 Sandwich Road,Beckenham,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Beckenham,Cashmere Ward,99177,Te Mana Raupō Community of Learning,-43.562877,172.645488,0.1,8,509,379,57,7,51,11,4,0
3292,Belfast School,03 323 8849,03 323 7166,office@belfast.school.nz,Sue Elley,http://www.belfastschool.co.nz,700 Main North Road,Belfast,Christchurch,700 Main North Road,Belfast,Christchurch,8051,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Belfast,Innes Ward,,,-43.453618,172.627302,0.21,7,452,283,90,13,42,23,0,1
3293,Bishopdale School,03 352 9354,03 352 0319,office@bishopdale.school.nz,Jillian McArthur,http://www.bishopdale.school.nz,465 Greers Road,Bishopdale,Christchurch,465 Greers Road,Bishopdale,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Bishopdale North,Harewood Ward,99039,Tōtaranui Kāhui Ako,-43.486649,172.596248,0.14,3,160,57,49,14,26,14,0,0
3299,Breens Intermediate,03 359 8108,,office@breens.school.nz,Nikki Clarke,http://www.breens.school.nz/,85 Breens Road,Bishopdale,Christchurch,85 Breens Road,Bishopdale,Christchurch,8051,Main Urban Area,Intermediate,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Harewood,Harewood Ward,99027,Waimairi-iri Community of Learning,-43.487498,172.577254,0.17,7,264,159,43,16,27,4,15,0
3301,Broadfield School,03 325 2440,03 325 2440,office@broadfield.school.nz,Jarrad Welsh,http://www.broadfield.school.nz,Cnr Shands & Robinsons Roads,,Rolleston,Cnr Shands & Robinsons Road RD 6,,Rolleston,7676,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,West Melton,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.602804,172.467945,0.4,9,157,125,16,3,10,2,1,0
3302,Bromley School,03 389 7716,,office@bromley.school.nz,Scot Kinley ,http://www.bromley.school.nz,33 Keighleys Road,Bromley,Christchurch,33 Keighleys Road,Bromley,Christchurch,8062,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Bromley,Linwood Ward,99063,Tamai Community of Learning,-43.536557,172.687055,0.11,3,368,180,136,39,4,4,5,0
3303,Broomfield School,03 314 9444,03 314 9441,office@broomfield.school.nz,Andrew Kemp,http://www.broomfield.school.nz/,Mt Brown Road,,Amberley,Mt Brown Road RD 2,,Amberley,7482,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Leithfield,Amberley Ward,99077,Puketeraki Community of Learning,-43.117264,172.685605,0.94,8,122,103,17,0,2,0,0,0
3304,Burnham School - Te Kura o Tiori,03 347 6851,03 347 6223,admin@burnham.school.nz,Pauline Jansen,http://www.burnham.school.nz,Chaytor Avenue,,Burnham,3 Chaytor Avenue,,Burnham,7600,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Burnham Military Camp,Ellesmere Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.616299,172.308404,0.65,9,142,70,47,18,4,1,2,0
3305,Burnside Primary School,03 351 9407,03 351 9307,office@burnsideprimary.school.nz,Matthew Bateman,http://www.burnsideprimary.school.nz,96 Memorial Avenue,Burnside,Christchurch,96 Memorial Avenue,Ilam,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Fendalton,Fendalton Ward,99027,Waimairi-iri Community of Learning,-43.512738,172.581782,0.13,4,329,127,61,21,87,29,0,4
3307,Cannington School,03 614 3723,03 614 3724,office@cannington.school.nz,Deane Power,http://www.cannington.school.nz,794 Cannington Road,,Cannington,794 Cannington Road RD 14,,Cave,7984,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Mackenzie,Opuha Ward,99143,Te Kāhui Ako ō Te Manahuna,-44.357499,170.93677,1.39,6,13,7,6,0,0,0,0,0
3308,Carew Peel Forest School,03 696 3556,03 696 3793,carew@carewpeelforest.school.nz,Sharon Ketter,http://www.carewpeelforest.school.nz,1051 Ealing Montalto Road,,Carew,1051 Ealing Montalto Road RD 5,,Ashburton,7775,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Hinds,Eastern Ward,99053,Ka Awa Whiria,-43.960073,171.356948,1.3,10,82,74,2,0,5,0,1,0
3309,Casebrook Intermediate,03 359 7428,03 359 3074,office@casebrook.school.nz,Sharon Keen,http://www.casebrook.school.nz,Veitches Road,Casebrook,Christchurch,90 Veitches Road,Casebrook,Christchurch,8051,Main Urban Area,Intermediate,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Casebrook,Papanui Ward,99039,Tōtaranui Kāhui Ako,-43.481806,172.603796,0.16,6,490,306,90,21,48,20,4,1
3310,Cashmere Primary Te Pae Kererū,03 332 6786,03 332 6749,office@cashmereprimary.school.nz,Gavin Burn,http://www.cashmereprimary.school.nz,135 Hackthorne Road,Cashmere,Christchurch,135 Hackthorne Road,Cashmere,Christchurch,8022,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Cashmere East,Cashmere Ward,,,-43.576418,172.632546,0.13,10,424,367,16,5,25,5,4,2
3313,Chertsey School,03 302 2727,,office@chertsey.school.nz,Sarah Coard,http://www.chertsey.school.nz,83 High Street,Chertsey,Ashburton,83 High Street RD 2,,Ashburton,7772,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Chertsey,Eastern Ward,99009,Opuke Community of Learning,-43.804883,171.93764,1.1,7,31,22,8,1,0,0,0,0
3314,Chisnallwood Intermediate,03 388 4199,03 388 4803,michelle@chisnallwood.school.nz,Justin Fields,http://www.chisnallwood.school.nz,90 Breezes Road,Avondale,Christchurch,90 Breezes Road,Avondale,Christchurch,8061,Main Urban Area,Intermediate,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Avondale,Burwood Ward,99175,Ōtākaro Community of Learning,-43.509808,172.688993,0.14,5,693,435,169,61,18,6,3,1
3316,Christ The King School (Burnside),03 358 2708,03 358 7871,admin@christtheking.school.nz,Michael Bonisch,http://www.christtheking.school.nz,92 Greers Road,Burnside,Christchurch,92 Greers Road,Burnside,Christchurch,8053,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Jellie Park,Fendalton Ward,99027,Waimairi-iri Community of Learning,-43.509154,172.576637,0.14,8,342,198,22,16,93,11,2,0
3317,Christchurch East School,03 366 2440,03 377 6600,admin@chcheast.school.nz,Michael Agar,http://www.chcheast.school.nz,311 Gloucester Street,Christchurch Central,Christchurch,311 Gloucester Street,Christchurch Central,Christchurch,8011,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Avon Loop,Central Ward,99215,Te Taura Here o Ōtautahi Kāhui Ako,-43.529647,172.648358,0.02,3,274,61,42,37,111,18,5,0
3318,Christchurch South Karamata Intermediate School,03 332 2408,03 337 2140,office@chchsouth.ac.nz,Ross Hastings,http://www.chchsouth.ac.nz,204 Selwyn Street,Spreydon,Christchurch,204 Selwyn Street,Spreydon,Christchurch,8024,Main Urban Area,Intermediate,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Spreydon,Spreydon Ward,,,-43.552165,172.625329,0.07,8,508,359,73,10,40,15,10,1
3321,Clarkville School,03 327 8218,,admin@clarkville.school.nz,Juliana Rae,http://www.clarkville.school.nz/,10 Heywards Road,Clarkville,Kaiapoi,10 Heywards Road RD 2,,Kaiapoi,7692,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Clarkville,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.405997,172.623356,0.35,10,198,152,24,6,8,5,3,0
3323,Cobham Intermediate,03 351 6381,03 351 6365,office@cobham.school.nz,Edward Norgate,http://www.cobham.school.nz,294 Ilam Road,Fendalton,Christchurch,294 Ilam Road,Burnside,Christchurch,8053,Main Urban Area,Intermediate,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Fendalton,Fendalton Ward,99027,Waimairi-iri Community of Learning,-43.510467,172.583791,0.13,8,697,370,66,24,198,26,9,4
3324,Cotswold School,03 359 8035,03 359 4460,office@cotswold.school.nz,Stephen Harrison,http://www.cotswold.school.nz,Cotswold Avenue,Bishopdale,Christchurch,50 Cotswold Avenue,Bishopdale,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Bishopdale North,Harewood Ward,99039,Tōtaranui Kāhui Ako,-43.482458,172.587178,0.16,8,534,364,72,15,59,20,4,0
3325,Cust School,03 312 5753,03 312 5723,admin@cust.school.nz,Robert Schuyt,http://www.cust.school.nz,473 Early's Road,,Cust,P O Box 28,,Cust,7444,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Cust,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.312457,172.381037,0.71,10,158,145,10,0,1,2,0,0
3326,Darfield School,03 318 8473,03 318 8226,office@darfieldprimary.school.nz,Meredith Devonald,http://www.darfieldprimary.school.nz/,16 Ross Street,,Darfield,16 Ross Street,,Darfield,7510,Minor Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Darfield,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.490411,172.106323,1.01,8,254,201,33,6,7,6,1,0
3327,Diamond Harbour School,03 329 4842,03 974 1653,office@diamondharbour.school.nz,Jill Pears,http://www.diamondharbour.school.nz,13 Hunters Road,,Diamond Harbour,13 Hunters Road RD 1,,Lyttelton,8971,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Diamond Harbour,Banks Peninsula Ward,99177,Te Mana Raupō Community of Learning,-43.629962,172.726705,0.65,10,131,108,18,1,3,1,0,0
3329,Dorie School,03 302 0862,03 302 0845,office@dorie.school.nz,Anthony Dorreen,http://www.dorie.school.nz,103 Dorie School Road,Chertsey,Ashburton,103 Dorie School Road RD 11,Rakaia,Ashburton,7781,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Chertsey,Eastern Ward,99009,Opuke Community of Learning,-43.865175,172.11665,1.31,9,79,42,9,4,19,3,2,0
3331,Dunsandel School,03 325 4079,03 325 4492,admin@dunsandel.school.nz,David Robinson,http://www.dunsandel.school.nz,Irvines Road,,Leeston,Irvines Road RD 2,,Leeston,7682,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Dunsandel,Ellesmere Ward,99207,Ngā Mātāpuna o te Waihora Kāhui Ako,-43.667584,172.197107,0.9,9,123,91,8,5,15,2,2,0
3332,Duvauchelle School,03 304 5722,03 304 5724,office@duvauchelle.school.nz,Deb Richardson,http://hail.to/duvauchelle-primary-school,School Lane,,Duvauchelle,P O Box 8,Duvauchelle,Akaroa,7545,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Akaroa Harbour,Banks Peninsula Ward,,,-43.749671,172.932045,1.47,6,46,36,4,1,3,2,0,0
3334,Elmwood Normal School,03 355 7192,03 355 7116,office@elmwood.school.nz,Paul Armitage,http://www.elmwood.school.nz,Aikmans Road,Merivale,Christchurch,29 Aikmans Road,Merivale,Christchurch,8014,Main Urban Area,Contributing,Normal School,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Merivale,Fendalton Ward,,,-43.513814,172.614755,0.07,10,522,302,36,10,137,22,14,1
3335,Fairlie School,03 685 8504,03 685 8991,office@fairlie.school.nz,Amanda O'Brien,http://www.fairlie.school.nz,21 School Road,,Fairlie,21 School Road,,Fairlie,7925,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Fairlie,Opuha Ward,99143,Te Kāhui Ako ō Te Manahuna,-44.100613,170.826014,1.8,6,123,99,12,2,4,6,0,0
3336,Fairton School,03 308 9205,03 308 9206,office@fairton.school.nz,Mike Hill,http://www.fairton.school.nz,14 Fairfield Road,Fairton,Ashburton,14 Fairfield Road RD 2,,Ashburton,7772,Secondary Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Fairton,Eastern Ward,99043,Hakatere Kāhui Ako,-43.870492,171.815595,1.18,6,24,17,5,0,1,1,0,0
3338,Fendalton Open Air School,03 351 9788,,office@fendalton.school.nz,Raewyn Saunders,http://www.fendalton.school.nz,168 Clyde Road,Burnside,Christchurch,168 Clyde Road,Burnside,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Bryndwr,Fendalton Ward,99027,Waimairi-iri Community of Learning,-43.517081,172.591149,0.11,10,439,204,36,6,169,15,2,7
3339,Ferndale School (Christchurch),03 355 7595,03 355 7194,admin@ferndale.school.nz,Maureen Poulter,http://www.ferndaleschool.co.nz,104 Merivale Lane,Merivale,Christchurch,P O Box 36024,Merivale,Christchurch,8146,Main Urban Area,Special School,School for pupils with intellectual impairments,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Merivale,Fendalton Ward,,,-43.517086,172.621648,0.05,4,127,72,39,6,5,5,0,0
3340,Fernside School,03 313 8608,03 313 8480,fernsideschool@fernside.school.nz,Andrew Spencer (Acting),http://www.fernside.school.nz,O'Roarkes Road,Fernside,Rangiora,O'Roarkes Road RD 1,,Rangiora,7471,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Fernside,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.312427,172.53361,0.47,10,298,261,33,3,0,0,1,0
3346,Gilberthorpe School,03 349 7363,03 344 1363,office@gilberthorpe.school.nz,Andrew Wilkinson,http://www.gilberthorpe.school.nz,163 Gilberthorpes Road,Hei Hei,Christchurch,163 Gilberthorpes Road,Hei Hei,Christchurch,8042,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Islington,Hornby Ward,99045,Uru Mānuka Kāhui Ako,-43.529738,172.521344,0.23,2,190,93,38,20,34,5,0,0
3347,Gleniti School,03 686 0082,03 686 0163,office@gleniti.school.nz,Steve Zonnevylle,http://www.gleniti.school.nz,22 Heath Street,Gleniti,Timaru,22 Heath Street,Gleniti,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Gleniti,Timaru Ward,99174,North Timaru Community of Learning,-44.382757,171.193234,0.75,9,375,291,35,9,32,3,2,3
3348,Glenavy School,03 689 3856,03 689 2745,office@glenavy.school.nz,Kate Mansfield,http://www.glenavy.school.nz,19 Ruane Street,Glenavy,Waimate,19 Ruane Street RD 10,,Waimate,7980,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waihao,Lower Waihao Ward,99116,Whitestone Community of Learning,-44.914546,171.098345,1.35,7,97,49,15,8,25,0,0,0
3352,Glentunnel School,03 318 2717,03 318 2673,admin@glentunnel.school.nz,Edward Trotter,http://glentunnel.ultranet.school.nz,Homebush Road,,Glentunnel,Homebush Road RD P.D.C.,,Glentunnel,7638,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Malvern,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.482047,171.932435,1.3,7,103,88,11,1,2,0,1,0
3354,Governors Bay School,03 329 9854,03 329 9854,secretary@governorsbay.school.nz,Meagan Kelly,http://www.governorsbay.school.nz,1 Jetty Road,,Governors Bay,1 Jetty Road RD 1,,Lyttelton,8971,Main Urban Area,Full Primary,School with Side School,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Governors Bay,Banks Peninsula Ward,99177,Te Mana Raupō Community of Learning,-43.623986,172.64999,0.3,10,85,73,9,0,3,0,0,0
3357,Greendale School,03 318 8436,03 318 8426,office@greendale.school.nz,Bronwyn Harding,http://www.greendale.school.nz,187 Greendale Road,,Greendale,187 Greendale Road RD 1,,Rolleston,7671,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Kirwee,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.572742,172.083957,1.06,10,69,59,7,0,1,2,0,0
3359,Greta Valley School,03 314 3800,03 314 3809,office@gretavalley.school.nz,Anne Batt,http://www.gretavalleyschool.com,Motunau Beach,,Amberley,Motunau Beach Road RD 3,,Amberley,7483,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Hurunui,Glenmark Ward,99066,Tipu Maia Community of Learning,-42.964904,172.977861,1.58,5,38,31,6,1,0,0,0,0
3366,Halswell School,03 322 7038,,admin@halswell.school.nz,Stuart Cameron,http://www.halswell.school.nz/,437 Halswell Road,Halswell,Christchurch,437 Halswell Road,Halswell,Christchurch,8025,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Halswell South,Halswell Ward,,,-43.590655,172.569381,0.21,10,690,489,17,15,128,27,4,10
3367,Hampstead School,03 308 6476,03 308 2108,kellie.f@hampsteadschool.co.nz,Peter Melrose,http://www.hampsteadschool.co.nz,55 Wellington Street,Hampstead,Ashburton,55 Wellington Street,Hampstead,Ashburton,7700,Secondary Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Hampstead,Ashburton Ward,99043,Hakatere Kāhui Ako,-43.912534,171.760198,1.14,4,373,179,78,92,17,5,2,0
3368,Hanmer Springs School,03 315 7208,03 315 7209,admin@hanmersprings.school.nz,Bob Norrish (Acting),http://www.hanmersprings.school.nz,8 Cheltenham Street,,Hanmer Springs,8 Cheltenham Street,,Hanmer Springs,7334,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Hanmer Springs,Hanmer Springs Ward,99066,Tipu Maia Community of Learning,-42.521958,172.831496,2.78,9,91,65,16,0,7,3,0,0
3369,Hapuku School,03 319 5228,,office@hapuku.school.nz,Ripeka Tamepo,http://hapuku.school.nz,Kincaid Road,,Kaikoura,596 Kincaid Road RD 1,,Kaikoura,7371,Rural Area,Full Primary,Designated Character School,State,Donations should not be requested unless for a school camp,Co-Educational,Kaikoura District,Canterbury Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Kaikoura Rural,Area Outside Ward,99025,Kaikoura Community of Learning,-42.334217,173.704972,2.95,2,5,0,5,0,0,0,0,0
3370,Harewood School,03 359 8382,03 359 2654,office@harewood.school.nz,Julie Greenwood,http://www.harewood.school.nz,721 Harewood Road,Harewood,Christchurch,721 Harewood Road,Harewood,Christchurch,8051,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Harewood,Harewood Ward,99027,Waimairi-iri Community of Learning,-43.479772,172.559446,0.2,8,191,143,27,7,10,4,0,0
3371,Heathcote Valley School,03 384 1058,,admin@hvs.school.nz,Bruce Ellison,http://www.hvs.school.nz,Bridle Path Road,Heathcote Valley,Christchurch,61 Bridle Path Road,Heathcote Valley,Christchurch,8022,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Heathcote Valley,Heathcote Ward,99196,Aupaki Kāhui Ako,-43.579876,172.708878,0.2,9,240,186,32,4,9,5,4,0
3372,Heaton Normal Intermediate,03 355 9555,03 355 9623,admin@heaton.school.nz,Andrea Knight,http://www.heaton.school.nz/,Heaton Street,Merivale,Christchurch,P O Box 5242,Papanui,Christchurch,8542,Main Urban Area,Intermediate,Normal School,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Strowan,Fendalton Ward,,,-43.510414,172.615407,0.07,9,533,385,54,13,66,8,5,2
3373,Highfield School,03 686 1419,03 686 2843,office@highfield.school.nz,Stuart Wilcox,http://www.highfield.school.nz,Rimu Street,Glenwood,Timaru,30 Rimu Street,Glenwood,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Highfield,Timaru Ward,99174,North Timaru Community of Learning,-44.390404,171.213466,0.72,6,292,199,57,18,10,7,1,0
3375,Hinds School,03 303 7208,03 303 7209,office@hinds.school.nz,Vicki McIntyre,http://www.hinds.school.nz,50 Reed Street,Hinds,Ashburton,50 Reed Street RD 5,,Ashburton,7775,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Hinds,Eastern Ward,99043,Hakatere Kāhui Ako,-44.000913,171.565272,1.15,5,140,85,28,2,17,7,1,0
